company,description,address,website,email,phone,products
Eagle Valley Farm,"At Eagle Valley Farm, we raise pasture-based beef, chicken, pork, and eggs. Our first commitment is to producing quality meats raised with integrity; our second is to do so sustainably. We strive to be completely transparent in everything we do and encourage our customers to visit us anytime to see how our animals are raised. The farm is managed by Rachel & Casey Sipe on  land that has been farmed by our family for three generations. The land has been in agricultural use since the late 1800s.
Here at Eagle Valley Farm, we are stewards of the land,and we strive to use products that might otherwise be dumped in a landfill. We feed our animals organic fig bars produced in Carson City that were less than perfect for the retail market. We feed bread with expired sales dates from Franco Bakery in Reno. We round out our feeding program with beer mash from local breweries. Utilizing these feeds allows us to keep our prices affordable for our customers.
Our beef cattle are bred from homegrown stock and spend their entire lives on pasture, enjoying the wonderful salad bar nature has to offer. In addition to an unlimited supply of grass (supplemented by hay from our fields in the colder months), our cattle are fed fig bars to create a product with more fat and marbling than strictly grassfed beef.
Our hogs are bred and born on the property where they are kept on deep bedding until they are old enough to go onto pasture. They will then spend the rest of their days roaming our lush pastures, grazing and foraging to their heart’s content. To supplement this diet, they are fed fig bars, bread, and beer mash.
Our meat chickens are kept in portable pens that are moved daily to fresh ground, separating the chickens from yesterday’s waste (making for a healthier environment) and giving them access to fresh grass and insects. They are also fed a mixture of fig bars, bread, and beer mash.
You can find our products at local farmers markets in the summer and at the Bee Keeper in Carson City.","4900 Carson River Rd, Carson City, NV 89701",https://eaglevalleyfarm.square.site/,eaglevalleyfarmnv@gmail.com,775-233-4727,"beef, chicken, eggs, pork"
Estill Ranch – Lani’s Lana Fine Rambouillet Wool,"We are a diversified livestock operation raising cattle, lamb, hay, and, of course – wool.   The Bare Ranch was the first ranch settled in Surprise Valley at  the eastern foot of the Warner Mountain Range.  It was on the route that Peter Lassen scouted for pioneers to travel to California during the Gold Rush. The trade route later became a ranching community.  The Bare Family settled here and the ranch still bears their name. The fourth generation of the Estill Family is now actively involved in the ranch operations.  Lani’s Lana is the dream and creation of Lani Estill who loves wool and is a fiber artist.  The development of a line of yarn was a natural extension of the ranching business and Lani’s love of wool and natural fibers.
Our wool is grown in sustainable, natural methods rooted in tradition with respect for earth, animals, people and the product created for future generation…full circle, natural, with no harmful dyes or chemicals.
Our goal is to offer a product that is produced right here in Northwest Nevada and Northern California, a product that is often only imported from  countries far away.  Although we sell in bulk to companies like Pendleton Woolen Mills, we have an amazing superfine wool that is just so good, that home spinners and fiber artists should be able to access it. too.  Please take a minute to visit our website to see all the fine yarns that are available.","1875 Plumas Street Ste. 3, Reno, NV 89509",http://www.lanislana.com/,lanislana22@gmail.com,775-722-8173,"lamb, wool"
Ferrari Farms,"We are a family farm located in urban Reno. Our farm was purchased in 1913 by Dominico and Caterina Ferrari. They were hard workers going from sun up til sun down tilling and working their ground. On November 11, 1920 in their small two-bedroom farmhouse, they had their only son, Frank Sr. He followed in his parents’ footsteps farming the land, dealing with droughts, floods and everything in between. In 1971, Frank married Joanne, a woman who lived across the street from the farm, and less than a year later they had their only child, a son, Frank Jr. Like father, like son –  Frank Jr. carried on the family farm working closely with his father. Over the years they grew many crops including corn, potatoes, onions, squash, and of course, what we are best known for today, PUMPKINS! The produce was harvested and sold to local markets. In 1997, the family decided to set up a small pumpkin patch so that they could share their farm with the local community. As the years went by, the patch grew and new activities were introduced.
Today we have a large corn maze, hayrides, a mechanical bull, fire pits, paintball zombie hunt, bounce house, corn walk, BBQ and over 40 varieties of pumpkins, squash and gourds. We host field trips, birthday parties, graduation parties, corporate events and other group gatherings.
Oh, if Dominico and Caterina could only see what they created when they bought that beautiful little farm along the Truckee River in 1913! We’re sure they would be proud of all the joy and happiness that all of our visitors experience every year because of their hard work and dedication.","4701 Mill Street, Reno, NV 89502",https://ferrarifarms.org/,ferrarifarmsreno@gmail.com,775-997-3276,"gourds, pumpkins, winter squash"
First Fruits Sustainable Farms,"We are a two-generation family farm producing fresh produce, eggs, pork, beef, and honey in a sustainable way. Look for us at local farmers markets. And visit our Facebook page to watch our farm grow!","PO Box 5395, Fallon, NV 89407",https://www.firstfruitssustainablefarms.com/,tjc@cccomm.net,775-427-9401,"beef, beets, broccoli, cantaloupe, carrots, cauliflower, cucumbers, eggs, garlic, green beans, hearts o' gold melons, kale, lettuce, melons, okra, peas, pork, potatoes, pumpkins, radish, salad greens, salad mix, strawberries, summer squash, sweet potato, swiss chard, tomatoes, turnips, watermelon, winter squash, zucchini"
Frey Ranch Estate Distillery,"Just about an hour outside of Reno, near the small town of Fallon, Nevada, lies the historic and unique Frey Ranch, with roots dating back to 1918. In addition to planting, growing and harvesting a variety of crops, including corn, alfalfa, wheat and barley, Frey Ranch is home to Churchill Vineyards, Nevada’s only estate winery. Owned and operated by Colby Frey and his wife Ashley, Churchill Vineyards grows the grapes for and produces six high-quality wines.
Nearly one year after releasing Nevada’s first legally distilled spirit, Colby and Ashley officially launched the state’s first commercial estate distillery, Frey Ranch Estate Distillery in Churchill County, Nevada, growing grains for distilling, malting and bottling, gin, vodka and bourbon.
The brand new, 4,700 square-foot distillery features a still room, tank room, barreling room and tasting room. The centerpiece of the distillery is a one-of-a-kind, custom-made Vendome still that is capable of producing 10,000 cases of spirits a month. Additionally, there are four 5,000-gallon fermenters, one 5,000-gallon mash cooker, one 5,000-gallon beer well, one 500-gallon pot still and a 24-foot continuous still.
Truly, a grain-to-glass operation, the scenic and spectacular Frey Ranch is a must-visit and is one of the only places in the country where visitors can book tastings and tours at a quality estate vineyard and distillery.","1045 Dodge Lane, Fallon, NV 89406",http://www.freyranch.com/,info@freyranch.com,775-423-4000,distilled spirits
From The Earth,"We are a small and local producer of  heirloom produce, eggs, and poultry. We grow and raise our crops and poultry without pesticides or other noxious chemicals. Our eggs are from free-range, vegetable-fed spoiled girls and are always fresh!
In addition to selling our produce, we assist anyone in learning to grow their own food.  Farm tours are available upon request.","Independence Valley, Wells, NV 89835",None,behicks11@gmail.com,775-849-3344 or 775-849-9525,"chicken, cucumbers, eggs, green beans, summer squash, sweet peppers, tomatoes, winter squash, zucchini"
Full Circle Soils & Compost,"We offer growers and gardeners all-natural compost, soil blends and mulches to create nutrient-rich soils for lively, happy plants to flourish. With 20 years of hands-in-the-dirt experience, Full Circle Soils & Compost has the know-how to give plants the full package of all-natural nutrients they crave.
Our focus is rooted in the soil, knowing that underneath the surface is where growing success begins. By replenishing the soil with the natural ingredients it needs to sustain a healthy ecosystem, plants enjoy everything they need to produce bountiful harvests.
With a practical, easy-to-apply line of enviro-friendly, earth-satisfying products, Full Circle helps you grow happy and grow healthy.
Whether you’re growing for hobby, growing for eating or growing for selling, the results you’ll experience when using Full Circle’s all-natural products will have you high-fiving your soil-covered hands together. Oh Snap! Now you’re growing.",NV 89701,https://fullcirclecompost.com/find-us/,info@fullcirclecompost.com,775-267-5305,compost/manure
G lazy B Ranch,"We are a family-owned ranch that primarily grows alfalfa and wheat, and we also lease part of our ranch to Christopher Ranch to grow garlic among our other crops.
Our family loves farming, and our father decided he wanted to grow pumpkins for the local kids and give them away for free. We live in rural Nevada and decided to start a farmers market in Yerington to share our love of farming. That led to our decision to increase our garden size to help supply the market. We now have plans to grow in size and to continue to supply farm-fresh goods to the locals!","110 Hwy 95 A East, Yerington, NV 89447",None,mgiorgi16@gmail.com,775-600-3124,"cantaloupe, gourds, green beans, onions, peppers, summer squash, watermelon, winter squash, zucchini"
"Garden Farms of Nevada, LLC","Not only do we grow farm fresh produce for local farmers markets, but we can help you start your own home garden. We are an urban farming company that manages large and small community gardens, school gardens, residential gardens, and other types of vegetable growing locations.
Owners Bryan and Brittany Vellinga are advocates of healthy living and contributing to making Las Vegas a vibrant and healthy community.","4020 Nubar Circle, North Las Vegas, NV 89031",https://gardenfarms.net/,bryan@gardenfarms.net,702-551-4769,"apples, apricots, artichoke, asparagus, basil, beets, broccoli, brussels sprouts, cabbage, carrots, cauliflower, cucumbers, eggplant, garlic, green beans, green onions, hot peppers, kale, lettuce, melons, okra, onions, peaches, pears, peas, plums, pumpkins, radish, salad greens, salad mix, spinach, summer squash, sweet corn, sweet peppers, swiss chard, tomatoes, turnips, winter squash, zucchini"
Gigibe Farms,"Enjoy the sustainably grown fruits, vegetables and eggs produced on our urban farm, located near the banks of the Truckee River and not far from downtown Reno.","2222 Dickerson Road, Reno, NV 89503",None,johnkukulica@gmail.com,(775) 771-7850,"apples, corn, cucumbers, eggplant, eggs, garlic, green beans, honey, hot peppers, peaches, potatoes, summer squash, sweet corn, sweet peppers, tomatoes"
Gilcrease Orchard,"Surprised to see such succulent produce grown in the desert? Thanks to the Gilcrease Family and natural artesian springs, this unique piece of land has been preserved for over 90 years for the community to enjoy.
It all began in 1920 with the arrival of Elda and Leonard Gilcrease and their two sons John Theodore and William Orr. Ted was just a youngster of four and Bill, a baby less than a year old.
Leonard came from a farm family, having been raised at the Gilcrease Ranch in Lemoore, California. He met Elda at the University of Nevada, Reno, where they both graduated with bachelors degrees. After marrying and starting their family, they decided to purchase over 900 acres in the Las Vegas Valley that included natural artisan springs, known as the Lower Tule Springs, for cultivating crops and raising livestock.
Over the years, the Gilcrease Ranch raised chickens and turkeys and sold to the townsfolk and the military base close by. They grew assorted crops including alfalfa and eventually owned more than 1,500 acres of land, cultivating about 200 acres.
Their son Ted showed the greater interest in farming and took over the management of the ranch and land holdings while Bill pursued his interest in art and birds. Nevertheless, they both contributed time and land for the development of the orchard during the 1970s. For over twenty-five years, valley residents enjoyed 100 acres devoted to what Ted called his “pick and pay” orchard.
Recognizing his age and poor health were diminishing his ability to run the orchard, Ted decided he needed to protect the orchard in perpetuity. In 1997 with Bill’s support, he established the nonprofit Gilcrease Orchard Foundation governed by a Board of Trustees.
It was Ted and Bill’s dream that the Gilcrease Orchard would be a place where families could bring their children and enjoy a sampling of the kind of life the brothers knew. They wanted to preserve this unique gem where the community can pick food fresh off the tree or vine and see, feel, and taste the difference. Through their nonprofit foundation, they aimed to provide recreational and educational experiences that teach children where our food comes from and how it is grown, helping to foster an appreciation for the earth’s bounty and a healthy lifestyle.","7810 N. Tenaya Way, Las Vegas, NV 89131",http://www.thegilcreaseorchard.org/,info@thegilcreaseorchard.org,702-409-0655,"apples, apricots, carrots, cucumbers, eggplant, peaches, pears, pumpkins, summer squash, tomatoes, zucchini"
Girlfarm,"Learning to be nimble and adaptive to the changing expectation has also created an opportunity for something new at Girlfarm. Instead of a traditional working farm we are expressing our joy of the land by inviting the public to share in what is now called agritourism.
We are building tiny homes for farm stays, and having music and food events that allow you to enjoy the farm as a special event. We will also have classes, tours, and guided hikes around the farm.
Yes, you can still purchase food from the farm but it will be strictly on a reservation pre-ordered basis. Yes, we will still deliver – however, it will be to one location you must pick up at in town once a week.
Change is part of being sustainable. Let’s see together what this next adventure holds.","1400 Long Valley Road, Reno, NV 89508",http://www.girlfarm.org/,%20info@girlfarm.org,775-221-0001,"apples, beef, beets, broccoli, cabbage, carrots, chicken, cucumbers, eggs, fresh herbs, green onions, honey, kale, lamb, lettuce, onions, peas, peppers, pork, potatoes, pumpkins, salad greens, salad mix, spinach, summer squash, sweet peppers, swiss chard, tomatoes, turkey, winter squash, zucchini"
Glorious Garlic Farm,"At Glorious Garlic Farm, we specialize in producing a wide array of premium garlic varieties for cooking and growing. We grow garlic, potatoes, winter squash and pumpkins, with many heirloom varieties. You’ll find our garlic and produce at some of Northern Nevada restaurants and retailers.
All our products are grown without pesticides or artificial fertilizers. We pull weeds!","1905 Lakeshore Drive, Washoe Valley, NV 89704",http:,gloriousgarlic@gmail.com,775-220-2415,"garlic, potatoes, pumpkins, winter squash"
Goods From The Woods – Forest to Fork Pine Nuts,"PineNut.com is the leading online retailer of American Pinon pine nuts and other wild-growing crops, also promoting the sustainable use of pinon forest lands. We advocate and consult on sustainable forestry approaches, and work with private landowners, communities, and government agencies to achieve responsible stewardship of our natural heritage.
PineNut.com /Goods From The Woods Wild Crops Farm was founded by Penny Frazier in 1995, working exclusively with wild harvested, special forest products from American forests. Penny and her family are headquartered in Salem, Missouri, on their wild crops farm, also working part of the year in Nevada and New Mexico with the American pine nuts species.",Monticello,http://www.pinenut.com/,goodsfromthewoods@gmail.com,573-729-6725,pine nuts
Great Basin Eggs,,"2715 Knob Hill Dr, Reno NV 89506",None,sboyinreno@yahoo.com,775-741-7269,eggs
Hall’s Honey,"Hall’s Honey began in 1918 when Fletcher Hall, the son of Thomas Boyd Hall, moved to Mason Valley and started the beekeeping tradition. Today, the business is owned and operated by Fletcher’s great granddaughter, Debbie Gilmore and her family.
The local honey is produced by bees in Mason Valley, Smith Valley and Silver Springs. Fourth-generation beekeeper Debbie provides support to other local beekeepers to continue and expand the tradition.","4 Cottonwood Lane, Yerington, NV 89447",http://hallshoney.com/,debbie@hallshoney.com,775-463-2757,"beeswax, honey"
Hanco Sierra Farm,"Hank Schenkel is a fine grower, and one thing his friends, colleagues and customers all agree upon – Hank grows some of the finest potatoes this side of the Rockies.
You’ll find his potatoes and other vegetables at fine restaurants in Northern Nevada, and if you’re lucky at a farmers market!","130 Lonestar Circle, Reno, NV 89508",None,schenkelhenry@gmail.com,775-378-6302,"beets, carrots, corn, lettuce, potatoes, radish, sunflower seeds, sweet corn, swiss chard, turnips"
Happy Bee Farm,"Located in picturesque Crescent Valley, our small farm had its beginning after realizing our small flock of chickens was producing more eggs than we could handle. We started raising chickens in hopes of producing a better quality product for our family than we could find in the grocery store.
This venture has expanded into a flock of approximately 30 hen chickens, which give us a reliable, healthy intake of fresh eggs. We also have a small flock of Indian Runner ducks, which we raise for the rich, delicious eggs. These are wonderful in cookies, cakes and other baking delights! We also have a small flock of White Embden geese which we stumbled upon this spring.
The desire to produce a better quality meal for our family has grown, and in recent months, we have obtained American Guinea Hog cross hogs which will be bred in the coming months, some to replace our herd, with the remainder offered for sale. They are a pasture hog and thrive on a diet of grass and hay, with a small amount of commercial pig feed. They are also smaller in size and quite gentle, making them a perfect fit for a small property such as ours.
We also have fruit trees, and our bee hives help to pollinate a local nursery during the spring and summer months, with a small amount of honey harvested when there is a surplus.
We are a small family of four, which believes in the ability to be good stewards to the land and animals as God intends for us to do. God Bless and Thank you,
The Evertsen Family.","3008 Crescent Ave, Crescent Valley NV 89821",None,hnddgr@yahoo.com,775-318-0173 or 775-299-1170,"apples, apricots, chicken, eggs, geese, honey, nectarines, peaches, plums, pork"
Harris Market Farms,"We are a suburban market garden on a 1-acre parcel in Golden Valley, growing flavorful food and adding spice to your life. Featuring specialty garlic, leafy greens, root vegetables, heirloom tomatoes, peppers and culinary herbs.
Our farm stand is located on the backside of our property, and the address for it is 7065 Estates Rd, Reno, 89506. Visit our Facebook page to find out current farm stand hours.","7070 Remington Road, Reno, NV 89506",http:,mattkharriscre@gmail.com,775-250-4684,"arugula, carrots, garlic, green beans, herbs, hot peppers, kale, lettuce, onions, peppers, salad greens, spinach, tomatoes, turnips"
Hasting Heritage Farm,"Our family farm raises pasture-raised heritage and rare breed pork, specifically American Guinea Hog and Mangalitsa breeds. Our animals are humanely raised without growth hormones on Nevada alfalfa, grass, grain and produce. We take pride in raising heritage breeds using old fashioned methods. Our pork may take two years to mature, but every day adds delicious flavor, wonderful, creamy fat stores (mostly unsaturated), as well as marbling that is unparalleled in the pork industry. Our animals are treated with care and love, and get human and animal interaction 24/7. Pigs are allowed to be pigs, they roam, they root, they soak in the mud, and they play. We also offer limited numbers of lamb, goat and heritage breed turkeys.
All meats will be processed at a USDA inspected meat processing facility of your choice with the purchase of entire animals. Shares are available as well.
We invite you to visit the farm and see how we raise and care for our animals.","Fernley, NV 89408",None,marybonno@gmail.com,775-530-6796,pork
Heirloom Gardens,"Growing urban farmers one yard at a time. Our nursery offers nursery stock – heirloom and enticing varieties that are well-suited for the high desert Northern Nevada climate. You won’t find any better boys or early girls here! Call for availability, varieties and details.","1275 Fairfield Ave., Reno, NV 89509",http://heirloomgardensreno.com/,valarie@heirloomgardensreno.com,775-250-2240,"bath/body products, nursery plants, plants"
Herbs by Diane,"Diane Green began growing produce in 1974 for family use in Boulder City, Nevada.
In 2007, she formed the business ‘Herbs by Diane’ to sell produce at local farmers markets. The business produces more than 40 different culinary herbs, edible flowers and microgreens, as well as seasonal vegetables. Herbs by Diane also produces a line of herbal vinegars, dried herbs, herbal blends and dip mixes. In 2008, the farm began providing produce to restaurants Las Vegas restaurants.
The farm is located just outside of the Las Vegas Valley in Boulder City, Nevada. With plentiful sunshine and clean air, many varieties of herbs and vegetables are grown year-round. Rather than using pesticides or chemical fertilizers, compost is made on-site to feed the gardens. Weeds are hand-pulled, and insects are physically removed. Maintaining a natural balance in the gardens produces healthier plants and reduces pest populations.
Diane feels that the herbs and vegetables she grows are more flavorful and more healthful than those sold in stores. Her products are perfect for both home cooking and restaurant use.","PO Box 62124, Boulder City, NV 89006",http://www.herbsbydiane.com/,dianegreene2@cox.net,702-293-3451,"arugula, asparagus, basil, beets, boysenberries, carrots, chinese greens, collards, cucumbers, dill, dried flowers, dried herbs, edible flowers, eggplant, fennel, fresh flowers, fresh herbs, garlic, green beans, hot peppers, kale, lettuce, medicinal herbs, nursery plants, okra, onions, parsnips, peas, pecans, plants, potatoes, pumpkins, radish, salad greens, salad mix, spinach, sprouts, summer squash, sunchokes, sweet peppers, swiss chard, tomatillos, tomatoes, turnips, wheat grass, winter squash, zucchini"
Hidden Valley Honey,"Tucked away on an acre in Reno is Hidden Valley Honey and the home of the Foster family. While living in California in 1997, their property was invaded by a swarm of bees. They decided to turn a problem into a profit, and Hidden Valley Honey was born.
The Fosters moved to Reno in 2002 and brought eight hives with them. The hives now number more than 200, and the entire family works in the various aspects of the honey business.","2365 Derbish Way, Reno, NV 89502",http://hiddenvalleyhoney.com/,cafoster@jps.net,775-856-3903,"bath/body products, bee pollen, beeswax, honey"
Hillbilly Farms,"We are a small family farm in Fallon, Nevada, and we love the farm life, especially the animals. We raise lambs and have market and butcher lambs available for sale. They are pasture-raised lambs from Dorper Dorset, crossbred and hair sheep. We can also talk to you about purchasing a live butcher animal or a 4-H or FFA market lamb for your child. Call for availability.","2150 Soda Lake Road, Fallon, NV 89406",None,dsdemmons@gmail.com,775-867-2942,lamb
Holley Family Farms,"Holley Family Farms is a multi-generational, sustainable, USDA Organic farm providing customers with fresh, certified organic vegetables, grass-fed and grass-finished beef and lamb raised on certified organic fields, corn, soy, and GMO-free farrow-to-finish pork, and free-range eggs from genuine grass-pastured and organically-fed chickens.
Rob Holley and his family are the third and fourth generations to operate the Holley Ranch, and they are pleased to employ ecologically sound practices including composting, rotational planting and grazing, cover crops, and always the most respectful and humane treatment of their animals.","PO Box 471, Dayon, NV 89403",http://www.holleyfamilyfarms.com/,holleyfamilyfarms@yahoo.com,775-721-7806,"artichoke, arugula, basil, beef, beets, broccoli, cabbage, cantaloupe, carrots, cauliflower, celery, chicken, chinese greens, cucumbers, eggplant, eggs, fresh herbs, garlic, gourds, green beans, green onions, hay/straw, hot peppers, kale, lettuce, nursery plants, okra, onions, parsnips, peas, potatoes, pumpkins, radish, rhubarb, salad greens, salad mix, spinach, summer squash, sweet corn, sweet peppers, swiss chard, tomatillos, tomatoes, turkey, turnips, watermelon, winter squash, zucchini"
Hyde’s Microgreens LLC,"Rusty and Patricia Hyde began their farming venture growing herb and vegetable plants for local gardeners in Nevada’s high desert climate. The micro-green bug bit them, and they now grow a delectable array of micro-greens for Northern Nevada’s finest restaurants.
If you’re lucky, you might find them at an occasional farmers market.","PO Box 1927, Dayton, NV 89403",None,phyde90@yahoo.com,775-671-2020,micro-greens
Ital Farms,"Welcome to our urban farm in downtown Reno. We farm on less than quarter of an acre, specializing in growing salad greens and baby root vegetables. We sell our product to local restaurants and at farmers markets.","930 Cordone Ave, Reno, NV 89502",https://www.italfarms.com/,italfarmsreno@gmail.com,775-830-9564,"beets, potatoes, salad greens, turnips"
Jacobs Family Berry Farm,"We are a five-acre ranch in Gardnerville, on the original homestead of the Lampe family established in the 1860s.  In 2010 and 2011, we planted more than 900 raspberry and blackberry plants, with 16 different varieties. Today, we sell our berries at our ranch, at farmers markets and to restaurants and bakers in Northern Nevada.
We also provide venues for special occasions like weddings, family reunions, and antique barn sales.  Spacious lawns and flower beds provide a beautiful backdrop for a variety of events – country chic at its best.
We now offer a subscription order program to provide our customers a weekly supply of berries during the harvest season. It’s a good way to try the many varieties we offer. Give us a call for details.","1335 Centerville Lane, Gardnerville, NV 89410",http://www.jacobsberries.com/,info@jacobsberries.com,775-782-3023,"blackberries, raspberries"
Jamason Farms,"Established in 1994, Jamason Farms is a small certified organic farm, producing garlic, garlic scapes, dried garlic and horseradish, in about as middle of Nevada as a place can be (Antelope Valley between Battle Mountain and Austin). All crops are hand-planted, hand-harvested and lovingly tended by Dennis Jamason. Jamason Farms products can be purchased at the Great Basin Community Food Co-op in Reno.","Battle Mountain, NV 89820",None,market.ready.k.jamason@gmail.com,775-635-3545,"garlic, horseradish"
Joy’s Honey Ranch,"Leonard Joy has been supplying Northern Nevadans with local honey for more than a decade.  An expert in the field of apiculture, Leonard shares his knowledge with homeowners and fellow beekeepers. You can find Leonard and his honey at local farmers markets in Northern Nevada.","1210 Mineral Flat Road, Reno, NV 89506",None,None,775-970-3568,"bath/body products, beeswax, honey"
Kennedy Ranch Home Grown Beef,"We are a small fourth-generation family ranch that raises and sells grass-finished beef and pastured poultry to people who want the best tasting, healthiest meats around for their family. Our animals are humanely treated, with plenty of good Lamoille grass to eat and plenty of room to play while they grow. They come from breeding stock that has been on this ranch for generations, augmented by high-quality bulls that bring the specific genetic characteristics we want to create a superior animal for today’s palate. Come out and visit us any time – we’d love to show you around!
We are located in Lamoille, Nevada, at the base of the Ruby Mountains… in our opinion one of the most beautiful mountain ranges in the world.
Visit our website to learn more about our new CSA farm subscription plan for our beef, chicken and eggs that includes to Reno and Sparks.","PO Box 281267, Lamoille, NV 89828",http://kennedyranch.net/,lamoillebeef@gmail.com,775-934-4466,"beef, chicken, eggs"
La Four Ranch,"Our diversified ranch is located in the beautiful ranch community called Paradise Valley.  It is located in Northern Nevada, close to the Oregon and Idaho border.  The ranch overlooks Martin Creek as it flows out of the Santa Rosa Mountains.
While this ranch is relatively small, there are 330,000 acres of national forest located outside our back gate.  The year-round creek, flowing next to the property provides both scenery and vitality to this valley community.  From big horn sheep to elk to mountain lion, to wild turkeys to deer and antelope, this bucolic setting has much to offer both residents and visitors alike.
Ours is a family ranch operation expanding with each year. Every effort has been made to follow the philosophy and best management practices of role models such as Wendell Berry, Michael Pollan, Joel Salatin and other champions of sustainable agriculture.
Our ranch prides itself on raising registered Soay sheep, a rare breed dating back to the Bronze Age. Visit our website to find out more about these sheep and our ranch.","PO Box 36, Paradise Valley, NV 89426",https://lafourranch.wordpress.com/,ddriesgard@gmail.com,775-578-0096,"grapes, lamb"
Las Vegas Livestock,"Las Vegas Livestock is a fifth-generation family farm located outside of Las Vegas, carrying on a family tradition of raising pigs in Las Vegas. We have pigs and laying hens on our farm, and they are all fed food scraps that are collected from various resorts.
We specialize in providing a sustainable option for disposing of food scraps. Our pigs are fed pasteurized food that is wasted from the local area and surrounding states. Not only do we care about reducing waste to the landfill, we provide our pigs and other animals with the best care to make sure their time with us is the best it can be.","6050 W Verde Way, Las Vegas, NV 89130",https://www.lasvegaslivestock.com/,info@lvlfarm.com,702-550-2395,"eggs, pork"
"Las Vegas Mushrooms, LLC","Welcome to Las Vegas Mushrooms!  Our urban mushroom farm supplies the Las Vegas community fresh gourmet specialty mushrooms.  Our mushrooms are grown on organic spawn such as natural hardwood oak. Since mushrooms are 90% water, we purify our own water so our mushrooms are grown with the purest water.
Las Vegas Mushrooms supply the freshest gourmet mushrooms in town. Delivery is available all across Las Vegas.
As of August 2020, we proudly introduced our newest product: Chaga Double Extract.  Locally made right here in Las Vegas with three simple ingredients: chaga mushroom, grain alcohol and water.  Visit our website for details.","1325 Cadence Street, Henderson, NV 89052",https://lvmushrooms.com/,apursell@phre.net,210-848-8420,mushrooms
Lattin Farms,"Hello, we are Rick and B. Ann Lattin, proud owners of Lattin Farms. We’ve had the privilege to grow crops for our neighbors and community since 1977. Our family has been farming the Lahontan Valley for five generations.
Through the decades, we’ve raised five children and 12 grandchildren while growing our farm from alfalfa and small grains to a local destination hot spot complete with local produce, the first corn maze in the West, and shelves with homemade jams, breads, and canned goods.
Our hope is that by opening our farm gate, visitors at Lattin Farms will reconnect with the earth and learn about the importance of agriculture and how their food is grown. Our most important goal is for you to have some fun with your loved ones.","1955 McLean Road, Fallon, NV 89406",http://www.lattinfarms.com/,lattinfarmsnevada@gmail.com,775-867-3750,"artichoke, arugula, asparagus, baked goods/bread, basil, beets, blackberries, broccoli, cabbage, cantaloupe, carrots, chinese greens, collards, corn, cucumbers, dill, eggplant, fresh herbs, garlic, gourds, green beans, green onions, hay/straw, hearts o' gold melons, hot peppers, jams/jellies, kale, lettuce, melons, okra, onions, peas, peppers, pickles, popcorn, preserves, pumpkins, radish, raspberries, rhubarb, salad greens, salad mix, shallots, spinach, summer squash, sweet corn, sweet peppers, swiss chard, tomatillos, tomatoes, turnips, watermelon, winter squash, zucchini"
Lavender Ridge,"Lavender Ridge is a family-owned and operated lavender farm just outside of the Reno city limits. It’s nestled close to the Truckee River and Sierra Nevada mountains. Lavender Ridge is a thriving oasis of trees, plants, flowers and gorgeous lavender. The one-and-a-half-acre property is equipped with rustic-inspired buildings, a warm atmosphere and attention to every detail.
The beauty of Lavender Ridge provides a stunning backdrop for your special day. The relaxing aroma of thousands of lavender plants fill the air, while lush greenery and rustic-inspired buildings provide endless scenery for gorgeous wedding photos.
Breathtaking sunsets and night lighting throughout the venue create a romantic ambiance for you and your guests to dance the night away.
Lavender Ridge is the ideal location for your special day. The beautiful scenery of Lavender Ridge will complement the charm of any wedding or special event. Create memories that will last a life time for you and your loved ones at Lavender Ridge!","7450 W. 4th Street, Reno, NV, 89523",http://lavenderridgereno.com/,info@lavenderridgereno.com,775-747-3222,"lavender, lavender products"
Lazy P Adventure Farm,"Lazy P Adventure Farm is a 43-acre, family-owned farm dedicated to educating youth and their families through hands-on activities about the importance of agriculture in their everyday lives.
Lazy P features the Fall Farm Festival held every weekend in October consisting of a five-acre corn maze, pumpkin patch, petting zoo, sustainable educational garden, hay ride, haunted attraction, cow train, hay mountain, hay maze, corn box, corn cannon, duck races, entertainment and scrumptious food.
In the fall, we have hundreds of pumpkins! Bring the entire family and search for the perfect pumpkin from the hundreds that are grown here on the Lazy P Adventure Farm.","8280 Grass Valley Road, Winnemucca, NV 89445",http://lazypfarm.com/,lazy_p_farm@yahoo.com,775-625-1194,"hay/straw, lamb, pumpkins"
Life on the Grow,"We are a small urban farm located in the Las Vegas Valley that believes the food you eat should be grown and harvested locally in order to provide the optimum nutrition and freshness you deserve.
We SPECIALIZE in growing microgreens and wheat grasses because of their amazing health benefits and incredible flavor.
Our MISSION is to improve the health of our local community by providing a convenient, nutrient-dense food that’s grown ecologically and delivered to your door every week even during times of turmoil and uncertainty.
All products are GROWN TO ORDER and delivered weekly direct to your home.","1452 W Horizon Ridge Pkwy, Suite 306. Henderson NV 89012",https://www.lifeonthegrow702.com/,lifeonthegrow@yahoo.com,702-918-8888,
Life on the Grow Microgreens,"We are an  urban farm located in the Las Vegas Valley that believes the food you eat should be grown and harvested locally in order to provide the optimum nutrition and freshness you deserve.
We SPECIALIZE in growing microgreens and wheat grasses because of their amazing health benefits and incredible flavor.
Our MISSION is to improve the health of our local community by providing a convenient, nutrient-dense food that’s grown ecologically and delivered to your door every week even during times of turmoil and uncertainty.","1452 W. Horizon Ridge Pkwy #306, Henderson NV 89012",https://www.lifeonthegrow702.com/,Lifeonthegrow@yahoo.com,702-918-8888,"microgreens, wheat grass"
